# flnt: net longwave flux at top of model
# flntc: clear-sky net longwave flux at top of model
# fsnt: net shortwave flux at top of model
# fsntc: clear-sky net shortwave flux at top of model
# lwcf: longwave cloud forcing
# swcf: shortwave cloud forcing

lat,flnt,flntc,fsnt,fsntc,lwcf,swcf
-90,2.0416484,2.042491,2.5071876,2.4812477,0.000842071,0.025952779
-89.05759162,1.9453521,1.9538127,2.2895384,2.2633715,0.008460174,0.026181623
-88.11518325,1.9485906,1.9745628,2.2715368,2.2486606,0.02597171,0.022891441
-87.17277487,1.9315262,1.973177,2.3577716,2.3407838,0.041650813,0.01700548
-86.23036649,1.8911474,1.9550182,2.3164864,2.3062024,0.06387003,0.010306869
-85.28795812,1.863615,1.9461346,2.2230272,2.2218297,0.08251912,0.001224741
-84.34554974,1.8236291,1.9338706,2.0790563,2.084973,0.11024192,-0.005883114
-83.40314136,1.7811544,1.893867,1.9822222,2.0027437,0.11271282,-0.020481404
-82.46073298,1.8135796,1.9292723,1.9585997,2.0168104,0.11569255,-0.05815904
-81.51832461,1.8253909,1.9557508,1.9300832,2.0144424,0.13036028,-0.084298015
-80.57591623,1.8159063,1.9541501,1.9359523,2.0203135,0.13824378,-0.0842966
-79.63350785,1.8246341,1.9713541,1.9890132,2.0796726,0.14671947,-0.09059116
-78.69109948,1.7809291,1.9370174,1.9295728,2.0316038,0.15608817,-0.10195597
-77.7486911,1.6484269,1.7873753,1.7924622,1.9101009,0.1389487,-0.11750266
-76.80628272,1.5889182,1.7213974,1.7949624,1.9140478,0.1324783,-0.11886854
-75.86387435,1.5723623,1.7035483,1.8950549,2.0207622,0.13118654,-0.12545943
-74.92146597,1.557261,1.6803273,1.9841627,2.1916528,0.12306587,-0.20717406
-73.97905759,1.5567777,1.6864692,2.0445178,2.3980434,0.12969221,-0.35306528
-73.03664921,1.5656953,1.7079787,2.0878344,2.62301,0.14228413,-0.53452116
-72.09424084,1.5895019,1.7364144,2.1235392,2.814429,0.1469122,-0.69002825
-71.15183246,1.6340654,1.7856367,2.0867386,2.9724607,0.15157148,-0.8845899
-70.20942408,1.6734538,1.8436252,2.1912591,3.3217402,0.1701706,-1.1290046
-69.26701571,1.7618448,1.9991409,2.7071195,4.357482,0.23729539,-1.6482174
-68.32460733,1.7637441,2.0582151,2.8868887,4.9624496,0.29447147,-2.07275
-67.38219895,1.7245715,2.040593,2.8464663,5.048759,0.31602198,-2.1989458
-66.43979058,1.6551399,1.95401,2.5844796,4.7755423,0.29886985,-2.1871297
-65.4973822,1.5921274,1.867778,2.3948777,4.6648927,0.2756512,-2.265289
-64.55497382,1.5139089,1.7438847,2.297473,4.624282,0.22997522,-2.3213797
-63.61256545,1.4027835,1.6015681,2.1106975,4.485779,0.19878559,-2.3689504
-62.67015707,1.2676708,1.3866094,1.3588047,3.3973515,0.11893841,-2.0320232
-61.72774869,1.1914709,1.2274308,0.75571465,2.3634813,0.03595945,-1.6010118
-60.78534031,1.1660087,1.1058801,0.29185188,1.4715345,-0.060127802,-1.1727698
-59.84293194,1.1871037,1.0168239,-0.048625365,0.68006486,-0.17028053,-0.7217172
-58.90052356,1.2378954,0.974393,-0.1447213,0.16364294,-0.26350275,-0.30138382
-57.95811518,1.2988311,0.9732454,-0.073701486,-0.003337754,-0.32558548,-0.063300386
-57.01570681,1.3618739,0.996329,0.07000409,0.015905328,-0.36554486,0.061296992
-56.07329843,1.4213831,1.0286157,0.20923121,0.02494118,-0.39276767,0.19160292
-55.13089005,1.4647536,1.0700772,0.30960062,0.013408449,-0.39467606,0.30360618
-54.18848168,1.478298,1.105201,0.4344796,-0.003715356,-0.373097,0.4456634
-53.2460733,1.4718862,1.125388,0.5612533,-0.023024134,-0.34649837,0.59176666
-52.30366492,1.4542242,1.1399655,0.7056913,-0.041703064,-0.31425914,0.75488746
-51.36125654,1.4292806,1.1504797,0.84565675,-0.06118446,-0.27880126,0.9143359
-50.41884817,1.4014398,1.1537348,0.9762587,-0.07806555,-0.24770457,1.0618074
-49.47643979,1.3726093,1.1480981,1.097374,-0.08812348,-0.22451064,1.1929746
-48.53403141,1.3564515,1.1400578,1.2201402,-0.097324744,-0.21639359,1.3248833
-47.59162304,1.3689313,1.1363922,1.352338,-0.10052824,-0.23254016,1.4601874
-46.64921466,1.3985467,1.138165,1.4951625,-0.107463256,-0.260381,1.6098123
-45.70680628,1.4479234,1.150505,1.6233218,-0.120912075,-0.29741895,1.7512841
-44.76439791,1.5033672,1.180263,1.6937082,-0.1277433,-0.32310343,1.8283823
-43.82198953,1.5726308,1.2118902,1.7772168,-0.12586689,-0.36074173,1.9098601
-42.87958115,1.6401895,1.2416444,1.9164819,-0.11645804,-0.39854568,2.0395126
-41.93717277,1.7083974,1.2753457,2.0471845,-0.108415395,-0.4330522,2.1619108
-40.9947644,1.7729983,1.3139033,2.0655932,-0.09864044,-0.45909485,2.1703272
-40.05235602,1.8603787,1.3609967,2.1320148,-0.089052945,-0.49937916,2.2269452
-39.10994764,1.9468045,1.4122859,2.167762,-0.07386187,-0.53451794,2.2473707
-38.16753927,2.0282397,1.4723449,2.1664746,-0.06315327,-0.55589306,2.2353008
-37.22513089,2.0853796,1.533825,2.1361148,-0.04951392,-0.5515548,2.1911855
