# totcloud: total cloud fraction
# lowcloud: low-level cloud fraction
# medcloud: med-level cloud fraction
# highcloud: high-level cloud fraction

lat,totcloud,lowcloud,medcloud,highcloud
-90,-0.003570676,0,-0.00117904,0.004138619
-89.05759162,-0.003123442,5.62E-06,-0.00194778,0.00461339
-88.11518325,-0.001041367,0.001010977,0.000452099,0.00416133
-87.17277487,0.001551017,0.005622088,0.003311505,0.003830149
-86.23036649,0.003883489,0.008821099,0.004557589,0.004255457
-85.28795812,0.005391449,0.006947291,0.005726274,0.005438294
-84.34554974,0.007250825,0.006114242,0.006833342,0.005385501
-83.40314136,0.007217942,0.005317676,0.005626566,0.004649621
-82.46073298,0.007057014,0.004343445,0.004664469,0.00407552
-81.51832461,0.006695943,0.003782584,0.004418927,0.003586747
-80.57591623,0.006178938,0.003255433,0.004909445,0.003253675
-79.63350785,0.005603119,0.003257078,0.004845629,0.00243505
-78.69109948,0.00478367,0.003192951,0.00403644,0.000971062
-77.7486911,0.002500615,0.001509493,0.002303624,-0.000518574
-76.80628272,0.000353695,-0.000730623,0.000433652,-0.001933035
-75.86387435,-0.001031121,-0.001978209,-0.001055436,-0.002144757
-74.92146597,-0.001965539,-0.001568461,-0.002106462,-0.002078632
-73.97905759,-0.002065678,-0.00165229,-0.002722344,-0.001870547
-73.03664921,-0.001576166,-0.000757934,-0.002129531,-0.00182553
-72.09424084,-0.000933945,-0.000831389,-0.001926245,-0.002067264
-71.15183246,-0.000372503,0.000703328,-0.002282902,-0.00292878
-70.20942408,8.83E-05,0.001573635,-0.003677607,-0.003275046
-69.26701571,0.00073962,0.002397256,-0.004535179,-0.003221479
-68.32460733,0.000571238,0.001362756,-0.004916357,-0.00273472
-67.38219895,-0.000227293,-4.76E-05,-0.005312538,-0.002295353
-66.43979058,-0.001612412,-0.002007811,-0.005820076,-0.001825717
-65.4973822,-0.002327859,-0.00282757,-0.005942958,-0.001954644
-64.55497382,-0.002080661,-0.002280749,-0.005795578,-0.001830784
-63.61256545,-0.001488713,-0.001413484,-0.005665902,-0.001248022
-62.67015707,-0.000895145,-0.000586146,-0.005789861,-0.000329509
-61.72774869,-0.000448818,0.000208754,-0.005541833,0.000369215
-60.78534031,-0.000308453,0.00066577,-0.00544637,0.000525652
-59.84293194,-0.000290753,0.001073808,-0.005451641,0.000419574
-58.90052356,-0.000570841,0.001085656,-0.005876317,0.000260654
