# cdnumc: cloud droplet concentration in /m2
# tgcldlwp: cloud liquid water path in kg/m2

lat,cdnumc,tgcldlwp
-90,0.54375005,-9.08E-12
-89.05759162,13694.047,1.90E-08
-88.11518325,13674.765,1.96E-08
-87.17277487,22111.309,3.10E-08
-86.23036649,10490.984,3.99E-08
-85.28795812,538839.1,7.79E-07
-84.34554974,3489301.5,5.06E-06
-83.40314136,15405234,2.57E-05
-82.46073298,63566316,0.000102797
-81.51832461,111346040,0.00018719
-80.57591623,108728740,0.000205332
-79.63350785,118390510,0.000239148
-78.69109948,135686640,0.000290954
-77.7486911,140780640,0.000330749
-76.80628272,150162600,0.000364524
-75.86387435,149435120,0.000379475
-74.92146597,165319490,0.000460889
-73.97905759,189525940,0.000574351
-73.03664921,230201340,0.00071632
-72.09424084,278390340,0.000871065
-71.15183246,336556320,0.001054649
-70.20942408,401204580,0.001275764
-69.26701571,480070800,0.001598213
-68.32460733,548551400,0.001970339
-67.38219895,567718850,0.002236935
-66.43979058,564617660,0.002451919
-65.4973822,591385150,0.002745003
-64.55497382,600552200,0.003085482
-63.61256545,599295200,0.00339107
-62.67015707,513818050,0.003530723
-61.72774869,376331800,0.003512294
-60.78534031,222469980,0.00339533
-59.84293194,71909816,0.003188682
-58.90052356,-72950000,0.002820611
-57.95811518,-186933970,0.002449588
-57.01570681,-256044370,0.002160241
-56.07329843,-312072540,0.00186707
-55.13089005,-358102400,0.001622241
-54.18848168,-411527800,0.001375758
-53.2460733,-479544700,0.001058841
-52.30366492,-524146800,0.000787054
-51.36125654,-566407040,0.000562762
-50.41884817,-648693440,0.00025559
-49.47643979,-750822700,-0.000114759
-48.53403141,-850441540,-0.000532259
-47.59162304,-944649800,-0.000940832
-46.64921466,-1027821250,-0.001298692
-45.70680628,-1114610200,-0.001611493
-44.76439791,-1194198800,-0.001888596
-43.82198953,-1300641300,-0.002201113
-42.87958115,-1436952200,-0.002495468
-41.93717277,-1517135400,-0.00272753
-40.9947644,-1553332200,-0.002873602
-40.05235602,-1604148600,-0.002962497
-39.10994764,-1654337800,-0.003000742
-38.16753927,-1757877000,-0.002943568
-37.22513089,-1850069800,-0.002863664
-36.28272251,-1812776700,-0.002659763
-35.34031414,-1803382300,-0.002573001
-34.39790576,-1883384400,-0.002557818
-33.45549738,-2007284000,-0.002683339
-32.51308901,-1924693500,-0.002526378
-31.57068063,-1868849000,-0.002272247
-30.62827225,-1848733000,-0.002074478
-29.68586387,-1865107200,-0.001963071
-28.7434555,-1883670700,-0.001858802
-27.80104712,-1922139600,-0.001810763
-26.85863874,-1925795800,-0.001770369
-25.91623037,-1935508100,-0.001685065
-24.97382199,-2064630900,-0.001689259
-24.03141361,-2061824500,-0.001698065
-23.08900524,-2058565000,-0.00181494
-22.14659686,-2083512300,-0.002024574
-21.20418848,-2037987600,-0.002114976
-20.2617801,-1963180900,-0.002095569
-19.31937173,-1864159500,-0.002058462
-18.37696335,-1791045100,-0.002149857
-17.43455497,-1678642300,-0.00213178
-16.4921466,-1666479500,-0.002358971
-15.54973822,-1643220900,-0.002234443
-14.60732984,-1603912200,-0.002187445
-13.66492147,-1645456300,-0.002224148
-12.72251309,-1750188900,-0.002441354
-11.78010471,-1880920600,-0.002723328
-10.83769634,-1780800600,-0.002693513
-9.895287958,-1744850800,-0.002694515
-8.952879581,-1865851800,-0.002738384
-8.010471204,-2203788300,-0.002947178
-7.068062827,-2601423600,-0.003181025
-6.12565445,-2643113700,-0.003104433
-5.183246073,-2814807000,-0.003056786
-4.240837696,-3164281600,-0.003408409
-3.298429319,-3570166000,-0.004046352
-2.356020942,-3663246300,-0.004282171
-1.413612565,-3570516500,-0.004336059
-0.471204188,-3462871800,-0.00408009
0.471204188,-3282556000,-0.003821501
1.413612565,-3209391000,-0.00359185
2.356020942,-3180211200,-0.00338673
3.298429319,-3198609000,-0.003358774
4.240837696,-3437157400,-0.003630891
5.183246073,-3885621800,-0.004130047
6.12565445,-4328863000,-0.004789336
7.068062827,-4748451300,-0.005530396
8.010471204,-4856660000,-0.00572495
8.952879581,-4575152600,-0.005315306
9.895287958,-4096896000,-0.004433321
10.83769634,-4002609400,-0.003992204
11.78010471,-4012774000,-0.003817344
12.72251309,-4157978400,-0.003781616
13.66492147,-4211027500,-0.003598223
14.60732984,-4283022300,-0.003595418
15.54973822,-4358533000,-0.00364232
16.4921466,-4450987500,-0.003602479
17.43455497,-4640029000,-0.00373893
18.37696335,-4942952000,-0.00409104
19.31937173,-5705322500,-0.004678648
20.2617801,-5918883300,-0.004892843
21.20418848,-6056182000,-0.005078664
22.14659686,-6754720300,-0.005630984
23.08900524,-7622471700,-0.006240931
24.03141361,-8515994600,-0.006777774
24.97382199,-9718075000,-0.007463535
25.91623037,-10576015000,-0.008304392
26.85863874,-11192025000,-0.00899261
27.80104712,-11202276000,-0.00927483
28.7434555,-10696844000,-0.009142886
29.68586387,-10037506000,-0.008415405
30.62827225,-9628010000,-0.007974461
31.57068063,-9284015000,-0.007801832
32.51308901,-9008296000,-0.007487984
33.45549738,-8489602600,-0.00709909
34.39790576,-8427663000,-0.007122308
35.34031414,-8655089000,-0.007282595
36.28272251,-8870911000,-0.007693931
37.22513089,-8817816000,-0.007952862
38.16753927,-8707488000,-0.007993627
39.10994764,-8901095000,-0.008124186
40.05235602,-9418222000,-0.008331489
40.9947644,-9700217000,-0.008318393
41.93717277,-9491935000,-0.008044935
42.87958115,-9238417000,-0.007793408
43.82198953,-9073330000,-0.007595705
44.76439791,-9017382000,-0.007380042
45.70680628,-8798235000,-0.00694757
46.64921466,-8499298300,-0.006462612
47.59162304,-8185874400,-0.005997255
48.53403141,-7895273000,-0.00542887
49.47643979,-7619012600,-0.004966692
50.41884817,-7247266000,-0.004454004
51.36125654,-6791286300,-0.003966523
52.30366492,-6405448700,-0.003645199
53.2460733,-6179123000,-0.003436529
54.18848168,-5979298000,-0.003310117
55.13089005,-5842824700,-0.003071911
56.07329843,-5630341000,-0.002649052
57.01570681,-5304818700,-0.002266067
57.95811518,-4964810000,-0.001968345
58.90052356,-4668204000,-0.001604382
59.84293194,-4371560000,-0.001323919
60.78534031,-4012717800,-0.001020916
61.72774869,-3608039200,-0.000978819
62.67015707,-3303789800,-0.001027005
63.61256545,-3092369400,-0.001173397
64.55497382,-2889315000,-0.001306733
65.4973822,-2690717400,-0.001292722
66.43979058,-2469848000,-0.001251343
67.38219895,-2268621000,-0.001258702
68.32460733,-2003251000,-0.001091446
69.26701571,-1759456400,-0.000942292
70.20942408,-1482608900,-0.000738525
71.15183246,-1311951700,-0.000561933
72.09424084,-1183139200,-0.000478936
73.03664921,-1016961600,-0.000227034
73.97905759,-873491900,1.66E-05
74.92146597,-732057400,0.000223501
75.86387435,-603976800,0.000338157
76.80628272,-465203200,0.000477694
77.7486911,-328653700,0.00057722
78.69109948,-249078200,0.000637261
79.63350785,-158195860,0.000805078
80.57591623,-87426130,0.000989119
81.51832461,-36863628,0.001043312
82.46073298,36427370,0.001182926
83.40314136,96373870,0.001332655
84.34554974,151777570,0.001470837
85.28795812,197081580,0.001568431
86.23036649,229227950,0.001593828
87.17277487,249520580,0.001619864
88.11518325,271055200,0.001607138
89.05759162,268007230,0.001514526
90,332101760,0.001705072
