# relative_pr_ann: ratio of change in annual mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_djf: ratio of change in DJF mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_jja: ratio of change in JJA mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# aerosol_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# bc_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - PI)


lat,relative_pr_ann,relative_pr_djf,relative_pr_jja,aerosol_pr_ann,aerosol_pr_djf,aerosol_pr_jja,bc_pr_ann,bc_pr_djf,bc_pr_jja
-90,-0.6868308,3.6283073,-0.37678534,0.018082533,0.002864119,0.016700113,-0.026327495,0.000789385,-0.044322625
-89.057594,0.58287483,0.14892483,-0.3275705,0.01910409,0.003831404,0.017862534,-0.021282956,0.000370245,-0.034709863
-88.11518,-1.0520655,-0.15624486,-1.0478903,0.018697284,0.004567877,0.018850528,-0.022639116,-0.005148136,-0.030684836
-87.172775,-0.22223812,-0.16488738,-0.12191551,0.020555902,0.007267258,0.022298597,-0.023490205,-0.009829463,-0.030156596
-86.23037,0.04657586,0.37547475,-6.6280727,0.024403274,0.01183439,0.026878206,-0.049487792,-0.04189442,-0.052116845
-85.28796,-0.003682226,1.368256,-0.04177508,0.022949915,0.013022129,0.027210984,-0.028829081,-0.03922283,-0.021753443
-84.34555,-0.29101837,-0.015182161,0.6372952,0.028585378,0.018382188,0.03754188,0.048578758,-0.0113524,0.08353841
-83.403145,0.062050384,-0.1502716,1.1942549,0.031237593,0.024659941,0.041892722,0.10787688,0.02077108,0.15624185
-82.46073,0.26100716,0.504135,0.26968107,0.032517765,0.03266901,0.04164456,0.17614035,0.06691302,0.23396458
-81.518326,0.22544013,0.08596784,-0.05752886,0.028750079,0.035055473,0.029139975,0.21454756,0.0980173,0.26681936
-80.57591,-0.23583351,-0.28185478,0.29317337,0.02653531,0.033845425,0.021909429,0.20796299,0.11300704,0.24583785
-79.63351,0.54048693,0.48448277,0.37385735,0.027874086,0.03256689,0.020932717,0.18445772,0.11300617,0.20927747
-78.6911,0.34160614,0.66540724,0.06331709,0.03189433,0.034076203,0.024784744,0.17960197,0.11883695,0.20168826
