lat,lon,dt,dt_std
43.35,13.34,3.105558634,2.002843857
-40.51,167.67,1.571814895,0.658451974
-45.52,174.95,1.733894467,0.725229084
41,-32.97,2.030819178,1.431214929
49.88,-24.23,2.14536643,1.408435702
28.83,-87.16,2.26894784,0.871783912
67.23,2.93,3.315645933,1.909078479
-1.39,-11.74,1.302993774,0.469629526
1.2,-84.73,1.571471572,0.660434365
16.62,59.8,2.273993969,0.773250639
-3.1,-90.82,1.698712468,0.70027411
50.36,167.6,3.29297924,1.220165849
51.2,167.77,3.544634104,1.332479
69.25,12.7,3.848131895,1.928457975
78.59,3.07,6.79436779,3.770713568
4.2,-43.49,1.657500982,0.512485564
24,-20,1.768830657,0.494223207
36.23,-2.05,3.612731457,1.609398842
57.52,-15.87,3.091608763,0.982655287
12.75,-78.73,1.561677217,0.504820228
29.97,-118.1,1.548532367,0.788753331
36.99,-123.28,1.70947051,0.90351069
28.25,-74.41,1.916731358,0.706870377
39.23,-72.28,3.17182374,1.511081219
-19.62,11.32,0.845215201,1.349281788
-21.1,11.82,0.666282833,1.426834106
-25.52,13.03,1.042873144,0.912747741
-31.47,15.32,1.492027044,0.500965357
-41.13,13.57,1.900785685,0.612960339
-9.19,151.57,1.875944853,0.738135874
-42.55,-178.17,1.529994369,0.582354963
9.37,113.28,1.718369961,0.498625785
19.46,116.27,2.016299248,0.771189928
5.85,-86.45,1.735758781,0.79150784
49.88,-24.24,2.14536643,1.408435702
41,-32.95,2.030819178,1.431214929
39.49,134.44,2.90194726,1.504910231
