lat,lon,anom,std,dt_std,dt
43.35,13.34,8.57,0.239,1.506911516,3.592218876
-40.51,167.67,0.51,0.916,1.20673418,1.944694877
-45.52,174.95,1.24,1.302,1.341285229,2.033254147
41,-32.97,3.44,0.295,1.628174663,3.494268656
49.88,-24.23,5.15,0.667,2.2997365,4.57079649
28.83,-87.16,2.3,0.078,0.997122347,2.198533773
67.23,2.93,7.02,0.497,2.143259764,4.662350655
-1.39,-11.74,2.09,0.137,0.82615155,1.973078132
1.2,-84.73,2.28,0.183,0.928220689,2.006952524
16.62,59.8,1.8,0.116,0.862511575,2.550705194
-3.1,-90.82,2.52,0.26,0.933291316,2.138286114
50.36,167.6,3.86,0,1.5619663,3.647335052
51.2,167.77,3.29,1.039,1.543480158,3.715234041
69.25,12.7,-0.23,2.375,1.971126914,4.481730938
78.59,3.07,14.6,0,4.39991188,8.31473732
4.2,-43.49,1.39,0.316,0.703879952,1.907216072
24,-20,3.49,0.106,1.010555863,2.646397114
36.23,-2.05,9.1,0.148,1.409570217,3.503318071
57.52,-15.87,6.53,0.435,1.621321917,4.522897243
12.75,-78.73,0.41,0.113,0.728161037,1.858472347
29.97,-118.1,0.32,1.64,1.260733008,1.918371677
36.99,-123.28,1.23,0.337,1.219486594,1.903683424
28.25,-74.41,-2.32,0.167,0.839304388,2.142338276
39.23,-72.28,9.94,0.125,1.219717741,3.152926683
-19.62,11.32,8.21,0,0.957090437,1.902224064
-21.1,11.82,9.39,0.327,0.870140254,1.752161026
-25.52,13.03,8.35,0.354,0.802332819,1.893015623
-31.47,15.32,3.67,0.511,0.741616786,1.954009652
-41.13,13.57,5.27,0,1.070913196,2.393115759
-9.19,151.57,0.9,0.047,0.859674454,1.797569156
-42.55,-178.17,5.16,0.624,1.208519697,1.896445274
9.37,113.28,0.46,0.017,0.920864701,1.917461753
19.46,116.27,2.62,0.036,0.817468762,1.88698554
5.85,-86.45,0.47,0,0.782598138,1.822603941
49.88,-24.24,3.85,0.25,2.2997365,4.57079649
41,-32.95,3.14,0.689,1.628174663,3.494268656
39.49,134.44,5.73,0,1.588789105,2.700713634
