# site-level annual mean temperature anomalies in deg_C
# Data source:
# 	PlioMIP1: Haywood et al. (2013)
# 	PlioMIP2: Haywood et al. (2020)
# 	Proxy data: Foley and Dowsett (2019)
#Columns:
# 	lat: latitude in deg_N
# 	lon: longitude in deg_E
#	expt: this study
# 	dt2: PlioMIP2 multi-model means 
# 	dt2std: PlioMIP2 standard deviation 
# 	dt1: PlioMIP1 multi-model means 
# 	dt1std: PlioMIP1 standard deviation 
#	anom: proxy means
#	anom: proxy standard deviation

lat,lon,expt,dt2std,dt2,dt1,dt1std,anom,std
43.35,13.34,1.178405762,1.506911516,3.592218876,3.105558634,2.002843857,8.57,0.239
-40.51,167.67,1.48248291,1.20673418,1.944694877,1.571814895,0.658451974,0.51,0.916
-45.52,174.95,1.587371826,1.341285229,2.033254147,1.733894467,0.725229084,1.24,1.302
41,-32.97,1.381835938,1.628174663,3.494268656,2.030819178,1.431214929,3.44,0.295
49.88,-24.23,0.251678467,2.2997365,4.57079649,2.14536643,1.408435702,5.15,0.667
28.83,-87.16,1.336425781,0.997122347,2.198533773,2.26894784,0.871783912,2.3,0.078
67.23,2.93,1.286773682,2.143259764,4.662350655,3.315645933,1.909078479,7.02,0.497
-1.39,-11.74,1.213378906,0.82615155,1.973078132,1.302993774,0.469629526,2.09,0.137
1.2,-84.73,1.430938721,0.928220689,2.006952524,1.571471572,0.660434365,2.28,0.183
16.62,59.8,1.581268311,0.862511575,2.550705194,2.273993969,0.773250639,1.8,0.116
-3.1,-90.82,1.532714844,0.933291316,2.138286114,1.698712468,0.70027411,2.52,0.26
50.36,167.6,2.192962646,1.5619663,3.647335052,3.29297924,1.220165849,3.86,0
51.2,167.77,2.239379883,1.543480158,3.715234041,3.544634104,1.332479,3.29,1.039
69.25,12.7,1.468048096,1.971126914,4.481730938,3.848131895,1.928457975,-0.23,2.375
78.59,3.07,4.249450684,4.39991188,8.31473732,6.79436779,3.770713568,14.6,0
4.2,-43.49,1.160491943,0.703879952,1.907216072,1.657500982,0.512485564,1.39,0.316
24,-20,1.021484375,1.010555863,2.646397114,1.768830657,0.494223207,3.49,0.106
36.23,-2.05,1.827270508,1.409570217,3.503318071,3.612731457,1.609398842,9.1,0.148
57.52,-15.87,1.326507568,1.621321917,4.522897243,3.091608763,0.982655287,6.53,0.435
12.75,-78.73,1.061401367,0.728161037,1.858472347,1.561677217,0.504820228,0.41,0.113
29.97,-118.1,1.876251221,1.260733008,1.918371677,1.548532367,0.788753331,0.32,1.64
36.99,-123.28,1.661437988,1.219486594,1.903683424,1.70947051,0.90351069,1.23,0.337
28.25,-74.41,1.236724854,0.839304388,2.142338276,1.916731358,0.706870377,-2.32,0.167
39.23,-72.28,1.06463623,1.219717741,3.152926683,3.17182374,1.511081219,9.94,0.125
-19.62,11.32,1.188079834,0.957090437,1.902224064,0.845215201,1.349281788,8.21,0
-21.1,11.82,1.164398193,0.870140254,1.752161026,0.666282833,1.426834106,9.39,0.327
-25.52,13.03,1.271606445,0.802332819,1.893015623,1.042873144,0.912747741,8.35,0.354
-31.47,15.32,1.300262451,0.741616786,1.954009652,1.492027044,0.500965357,3.67,0.511
-41.13,13.57,1.827606201,1.070913196,2.393115759,1.900785685,0.612960339,5.27,0
-9.19,151.57,1.43447876,0.859674454,1.797569156,1.875944853,0.738135874,0.9,0.047
-42.55,-178.17,1.503753662,1.208519697,1.896445274,1.529994369,0.582354963,5.16,0.624
9.37,113.28,1.240997314,0.920864701,1.917461753,1.718369961,0.498625785,0.46,0.017
19.46,116.27,1.191467285,0.817468762,1.88698554,2.016299248,0.771189928,2.62,0.036
5.85,-86.45,1.414611816,0.782598138,1.822603941,1.735758781,0.79150784,0.47,0
49.88,-24.24,0.251678467,2.2997365,4.57079649,2.14536643,1.408435702,3.85,0.25
41,-32.95,1.381835938,1.628174663,3.494268656,2.030819178,1.431214929,3.14,0.689
39.49,134.44,1.484710693,1.588789105,2.700713634,2.90194726,1.504910231,5.73,0
