# This dataset is regenerated from Feng et al. (2022)
# lat: Latitude in deg_N
# lon: Longitude in deg_E
# index: The sign of precipitation anomalies compared to pre-industrial
#     -1: drier than PI
#      0: no change compared to PI
#.     1: wetter than PI     

lat,lon,index
42.13,-2.07,1
43.85,6.13,1
51.78,10.11,1
42.78,12.40,1
45.20,26.70,-1
38.28,34.33,1
57.06,53.02,1
29.00,102.25,1
53.33,108.07,1
37.43,112.75,1
67.50,172.10,1
13.00,14.30,1
11.17,40.60,1
0.67,36.03,1
16.08,18.48,1
11.09,40.53,1
11.53,48.14,1
18.04,-21.00,1
9.26,-19.23,1
1.11,-11.52,1
0.06,-23.13,1
16.40,59.51,1
20.44,-18.34,1
4.80,35.96,1
32.09,76.26,1
30.73,76.77,1
27.66,85.35,1
27.52,82.40,0
25.13,99.05,1
24.88,101.88,1
19.27,116.16,-1
35.49,107.59,-1
41.12,1.24,0
37.54,-4.73,1
35.72,-1.13,1
35.17,-2.93,1
39.33,-8.94,1
62.78,148.15,0
52.52,13.40,0
40.14,47.57,1
39.50,97.50,1
36.80,137.00,0
37.26,94.45,1
37.50,94.60,0
45.18,36.00,1
42.15,41.67,-1
49.30,0.95,0
33.00,35.60,1
39.44,143.55,1
40.15,11.26,1
36.88,108.70,1
30.94,34.73,1
35.07,107.65,0
37.04,134.80,1
39.22,133.89,1
38.40,92.50,0
,,
,,
